num_threads,trial,time,num_nodes
1,1,5.80412e+06,856903
1,2,5.75937e+06,856903
1,3,5.71552e+06,856903
2,1,5.88871e+06,1497534
2,2,5.81379e+06,1497534
2,3,5.9395e+06,1497534
3,1,1.04697e+07,2747873
3,2,1.02746e+07,2747873
3,3,1.03176e+07,2747873
4,1,9.17473e+06,3270288
4,2,8.84695e+06,3270288
4,3,8.92177e+06,3270288
5,1,9.83334e+06,3816047
5,2,9.13466e+06,3816047
5,3,8.5945e+06,3816047
6,1,1.30848e+07,4902328
6,2,1.10749e+07,4902328
6,3,1.15197e+07,4902328
7,1,1.13402e+07,5892760
7,2,9.69512e+06,5892760
7,3,9.46299e+06,5892760
8,1,1.3316e+07,7438955
8,2,1.19124e+07,7438955
8,3,1.53102e+07,7438955
9,1,1.7119e+07,7897947
9,2,1.30832e+07,7897947
9,3,1.57115e+07,7897947
10,1,1.28551e+07,8011478
10,2,1.32471e+07,8011478
10,3,1.42413e+07,8011478
11,1,1.33792e+07,8293483
11,2,1.36963e+07,8293483
11,3,1.29219e+07,8293483
12,1,1.52064e+07,8305701
12,2,1.36682e+07,8305701
12,3,1.3674e+07,8305701
13,1,2.17996e+07,8864248
13,2,2.26906e+07,8864248
13,3,1.94654e+07,8864248
14,1,1.99695e+07,9246298
14,2,1.97895e+07,9246298
14,3,2.44118e+07,9246298
15,1,3.25035e+07,9997601
15,2,4.64886e+07,9997601
15,3,4.1357e+07,9997601
16,1,5.21921e+07,10733338
16,2,5.12453e+07,10733338
16,3,5.9589e+07,10733338
