num_threads,trial,time_shared,num_nodes_shared,time_local,num_nodes_local,time_blended,num_nodes_blended,pos_idx
1,1,109642,12058,110503,12058,124270,12058,1
1,2,109889,12058,111192,12058,111898,12058,1
1,3,110831,12058,111447,12058,114807,12058,1
2,1,47052,6225,45307,6225,45666,6225,1
2,2,48141,6225,46436,6225,46981,6225,1
2,3,50437,6225,51408,6225,52270,6225,1
3,1,41885,11773,46412,11773,46396,11773,1
3,2,47002,12861,40399,9502,40361,11773,1
3,3,41334,11773,51102,12938,44578,11773,1
4,1,31699,7697,33960,7697,39158,7697,1
4,2,33129,7697,34089,7697,34304,7697,1
4,3,37987,7697,33930,7697,32044,7697,1
5,1,31955,10334,31218,10334,33235,10334,1
5,2,36205,10334,31870,10334,31796,10334,1
5,3,31881,10334,32175,10334,32943,10334,1
6,1,28926,14931,34659,14931,41025,14931,1
6,2,30265,14931,32590,14931,33943,14931,1
6,3,36987,14931,38838,15315,36941,14931,1
7,1,25773,14124,33289,14124,29105,14124,1
7,2,30049,14124,26032,14124,27509,14124,1
7,3,26642,14124,25134,14124,30456,14124,1
8,1,34483,16864,26895,16864,30490,16864,1
8,2,27437,16864,29259,16864,29820,16864,1
8,3,25037,16864,29109,16864,32488,16864,1
9,1,32864,17951,27457,17951,27333,17951,1
9,2,29912,17951,29857,17951,27640,17951,1
9,3,28145,17951,26314,17951,31474,17951,1
10,1,27498,18064,27073,18064,25656,18064,1
10,2,31744,18064,28093,18064,26838,18064,1
10,3,25441,18064,27791,18064,27364,18064,1
11,1,27365,20575,26964,20575,27131,20575,1
11,2,24985,20575,28123,20575,27677,20575,1
11,3,26119,20575,27077,20575,26357,20575,1
12,1,27374,21047,27533,21047,27046,21047,1
12,2,26600,21047,24566,21047,26262,21047,1
12,3,25868,21047,26333,21047,26708,21047,1
13,1,29125,22183,26216,22183,28292,22183,1
13,2,29295,22183,26310,22183,27329,22183,1
13,3,28657,22183,24767,22183,26723,22183,1
14,1,27377,25021,28045,25021,27728,25021,1
14,2,27757,25021,28104,25021,25304,25021,1
14,3,29943,25021,26713,25021,33056,25021,1
15,1,26109,26793,25653,26793,26753,26793,1
15,2,25836,26793,27163,26793,25886,26793,1
15,3,27182,26793,25142,26793,25755,26793,1
16,1,27622,29199,38118,29199,31120,29205,1
16,2,31516,29199,25269,29199,27493,29199,1
16,3,26170,29199,29339,29199,27924,29199,1
17,1,26688,29039,24318,29135,25566,29596,1
17,2,26100,29039,24277,29135,26904,29077,1
17,3,28838,29494,26095,29167,25381,29039,1
18,1,25356,29661,25614,29056,25456,29763,1
18,2,34271,33858,26470,29159,27737,29673,1
18,3,25811,29539,25245,30023,26166,29077,1
19,1,28592,28190,26500,25903,28674,26420,1
19,2,25303,28190,26074,26525,24427,29247,1
19,3,27543,28047,25394,25860,23230,27585,1
20,1,29305,32773,26248,25219,23773,29583,1
20,2,23928,28016,25226,25777,23614,28118,1
20,3,27411,27856,22883,28231,24132,27964,1
21,1,24498,25977,22765,27463,24914,27516,1
21,2,24387,25977,25956,26610,22640,25618,1
21,3,25530,25977,25143,26356,21222,24707,1
22,1,24763,24836,22276,25477,23057,24572,1
22,2,25023,24836,23596,25390,24561,26162,1
22,3,30022,26249,22077,25486,24582,25032,1
23,1,24112,25139,23830,26216,24998,25353,1
23,2,25054,24979,23815,25728,23135,24597,1
23,3,31168,24979,28257,25700,22883,24087,1
24,1,28537,23482,24149,25138,24042,23895,1
24,2,26492,25319,22799,24202,23716,24513,1
24,3,24117,23482,22198,24043,26567,26886,1
25,1,32164,24138,29085,29089,22635,22437,1
25,2,27369,25297,21262,25057,22407,23754,1
25,3,24320,23456,26971,24141,21893,23981,1
26,1,27351,21184,25483,24961,21845,22071,1
26,2,43165,42657,20931,23444,21379,22524,1
26,3,23004,24402,22440,21569,22892,24978,1
27,1,25562,21574,23389,24242,23721,22854,1
27,2,29108,24614,22016,21855,21677,23564,1
27,3,28319,22274,23900,27610,25332,21771,1
28,1,26257,22921,21354,21065,22048,24639,1
28,2,25395,24790,21923,23892,23880,24798,1
28,3,24530,23016,23148,24025,21191,21336,1
29,1,28767,23380,24711,24512,22502,25636,1
29,2,28150,24575,25558,25425,24690,21776,1
29,3,26816,25716,22167,22166,22713,22403,1
30,1,23945,25344,23547,25419,23251,27022,1
30,2,27751,25684,22400,24416,22343,25475,1
30,3,23579,23769,22994,20699,21805,22110,1
31,1,23183,24169,21919,22864,22010,20344,1
31,2,27021,26758,22157,21790,22739,23884,1
31,3,33791,29607,22448,25692,22862,21269,1
32,1,29190,25684,21898,22881,21905,24772,1
32,2,32857,28371,24813,23076,23946,25106,1
32,3,67037,25634,22374,25489,21362,23409,1
