num_threads,trial,time_shared,num_nodes_shared,time_local,num_nodes_local,time_blended,num_nodes_blended,pos_idx
1,1,3438,524,3355,524,3401,524,0
1,2,3381,524,3436,524,3385,524,0
1,3,3353,524,3401,524,3697,524,0
2,1,2310,543,2126,543,2114,543,0
2,2,2352,543,2119,543,2109,543,0
2,3,2317,543,2139,543,2090,543,0
3,1,1923,562,1684,562,1790,562,0
3,2,1890,562,2389,562,2589,562,0
3,3,2009,562,1676,562,1713,562,0
4,1,1893,581,2300,581,2293,581,0
4,2,2323,581,2238,581,2215,581,0
4,3,1738,581,1490,581,1500,581,0
5,1,1789,598,1514,598,1479,598,0
5,2,1742,598,1518,598,1547,598,0
5,3,1775,598,1471,598,1469,598,0
6,1,1769,618,1470,618,2127,618,0
6,2,2244,618,2279,618,2203,618,0
6,3,1802,618,1458,618,1450,618,0
7,1,1724,637,1623,637,1631,637,0
7,2,1694,637,1960,637,2062,637,0
7,3,2252,637,2069,637,2056,637,0
8,1,2819,656,2072,656,2144,656,0
8,2,2210,656,1596,656,2094,656,0
8,3,1735,656,1736,656,2101,656,0
9,1,1812,675,1379,675,1455,675,0
9,2,1766,675,1827,675,1744,675,0
9,3,2455,675,2093,675,2202,675,0
10,1,2482,693,1923,693,1870,693,0
10,2,1815,693,1437,693,1437,693,0
10,3,1890,693,1457,693,1456,653,0
11,1,1906,712,1450,712,1441,712,0
11,2,1896,712,1478,712,1474,712,0
11,3,1934,712,1954,712,1856,671,0
12,1,2308,731,1853,731,1834,692,0
12,2,2352,731,1879,731,1867,731,0
12,3,2311,731,1853,731,1862,690,0
13,1,2493,750,1922,709,1881,710,0
13,2,3286,750,3182,750,2731,750,0
13,3,2390,750,1888,709,1878,709,0
14,1,2651,769,2041,769,1851,769,0
14,2,2387,769,1825,769,1865,769,0
14,3,3195,769,1712,769,1719,769,0
15,1,2433,788,1973,748,1970,788,0
15,2,2431,788,2023,788,1839,788,0
15,3,2510,788,1969,788,2204,788,0
16,1,3486,807,2485,807,2755,807,0
16,2,2642,807,1939,807,1949,767,0
16,3,2427,807,1939,807,1954,807,0
17,1,2555,807,1975,789,1942,789,0
17,2,2586,807,2059,807,1940,807,0
17,3,2566,807,1941,808,2360,807,0
18,1,2450,807,2434,826,1870,807,0
18,2,2633,807,1921,807,2355,827,0
18,3,2395,807,2132,826,2214,826,0
19,1,2493,807,2218,827,1801,790,0
19,2,6066,864,1994,808,1819,807,0
19,3,2497,807,1758,809,2273,826,0
20,1,2666,807,2201,807,2059,826,0
20,2,2525,807,2311,826,2199,826,0
20,3,4894,883,2411,807,2171,846,0
21,1,4426,845,2148,827,2419,808,0
21,2,3312,883,2095,807,1831,808,0
21,3,2389,788,1741,809,1840,809,0
22,1,2560,807,2223,827,2101,788,0
22,2,4914,845,2220,846,1917,808,0
22,3,2538,788,1728,809,1918,809,0
23,1,2642,788,2242,827,1849,808,0
23,2,5332,883,1798,809,1897,809,0
23,3,2631,807,2304,808,2431,770,0
24,1,2678,807,2182,827,1777,809,0
24,2,2788,807,2282,846,1970,808,0
24,3,5748,883,1877,809,2304,827,0
25,1,2645,788,1939,808,2067,808,0
25,2,2713,807,2324,827,1833,809,0
25,3,2766,807,1810,809,1876,808,0
26,1,3063,845,1907,808,2368,808,0
26,2,2731,807,1834,809,2270,828,0
26,3,3229,788,2354,827,2051,808,0
27,1,2607,807,2191,695,2166,790,0
27,2,2647,807,1898,809,2249,828,0
27,3,2949,807,1832,809,1816,809,0
28,1,6843,883,1990,809,2207,808,0
28,2,6101,883,1974,767,1921,809,0
28,3,3494,807,2355,827,1951,808,0
29,1,2942,788,1868,809,2604,807,0
29,2,2897,788,1943,769,1918,809,0
29,3,2820,788,2127,808,1929,790,0
30,1,3525,807,1983,808,1891,809,0
30,2,2952,807,1871,790,1947,790,0
30,3,4091,826,2030,808,1854,809,0
31,1,3002,807,2017,808,2319,828,0
31,2,7485,883,2110,808,2067,789,0
31,3,2855,807,2128,808,1919,809,0
32,1,3921,826,2057,790,2011,809,0
32,2,3403,807,1824,790,2488,809,0
32,3,2950,807,2383,827,1829,809,0
