num_threads,trial,time_shared,num_nodes_shared,time_local,num_nodes_local,time_blended,num_nodes_blended,pos_idx
1,1,197999,33215,198553,33215,198069,33215,0
1,2,198506,33215,198535,33215,197873,33215,0
1,3,199426,33215,199073,33215,198663,33215,0
2,1,189030,56736,205493,56736,179409,56736,0
2,2,183425,56736,197648,56736,189042,56736,0
2,3,194460,56736,194516,56736,183282,56736,0
3,1,226384,77973,223111,77973,220655,77973,0
3,2,221012,77973,211994,77973,200751,77973,0
3,3,204888,77973,217938,77973,228609,77973,0
4,1,191407,91428,189525,91428,195430,91428,0
4,2,172602,91428,185560,91428,183990,91428,0
4,3,188740,91428,178799,91428,189569,91428,0
5,1,267393,142627,251555,142627,237064,142627,0
5,2,263185,142627,255246,142627,266479,142627,0
5,3,261065,142627,249464,142627,260656,142627,0
6,1,269173,151390,274433,151390,267650,151390,0
6,2,262966,151390,263829,151390,274188,151390,0
6,3,269114,151390,261215,151390,267970,151390,0
7,1,285259,168857,270786,168857,273440,168857,0
7,2,284492,168857,283105,168857,266219,168857,0
7,3,299190,168857,307857,168857,279409,168857,0
8,1,298581,173546,287365,173546,277909,173546,0
8,2,299486,173546,298902,173546,289339,173546,0
8,3,275363,173546,281750,173546,301051,173546,0
9,1,293688,173974,283729,173974,288046,173974,0
9,2,302511,173974,276336,173974,273481,173974,0
9,3,272225,173974,276588,173974,299885,173974,0
10,1,246314,195225,257199,195225,263836,195225,0
10,2,255377,195225,262766,195225,272771,195225,0
10,3,288019,195225,256368,195225,267290,195225,0
11,1,263624,195665,272853,195665,261242,195665,0
11,2,267613,195665,267131,195665,258527,195665,0
11,3,252775,195665,260644,195665,293890,195665,0
12,1,265394,196106,247184,196106,238723,196106,0
12,2,269224,196106,264170,196106,247967,196106,0
12,3,271115,196106,252033,196106,241429,196106,0
13,1,265176,196582,266352,196582,294811,196582,0
13,2,261832,196582,255239,196582,266182,196582,0
13,3,259585,196582,267417,196582,254506,196582,0
14,1,265978,197137,272043,197137,285269,197137,0
14,2,283199,197137,255205,197137,265656,197137,0
14,3,252363,197137,251447,197137,258908,197137,0
15,1,291624,201818,283207,201818,248920,201818,0
15,2,273759,201818,275232,201818,269355,201818,0
15,3,296657,201818,286833,201818,276101,201818,0
16,1,267018,202252,254542,202252,267365,202252,0
16,2,283804,202252,256191,202252,281754,202252,0
16,3,280984,202252,283212,202252,279185,202252,0
17,1,272135,202716,271781,202716,271830,202716,0
17,2,265230,202716,264935,202716,274558,202716,0
17,3,273575,202716,252023,202716,255023,202716,0
18,1,290683,203180,305102,203180,296418,203180,0
18,2,287900,203180,279575,203180,256371,203180,0
18,3,275220,203180,261476,203180,270972,203180,0
19,1,281967,207053,305504,207053,264799,207053,0
19,2,265260,207053,249824,207053,291544,207053,0
19,3,293346,207053,267498,207053,271663,207053,0
20,1,271425,207501,273997,207501,277564,207501,0
20,2,311541,207501,293210,207501,276302,206899,0
20,3,316022,207501,279188,207501,291356,207501,0
21,1,309848,207501,283534,207501,288732,207501,0
21,2,280435,207501,283130,207501,293514,207501,0
21,3,413128,207501,273439,207501,265806,207501,0
22,1,290916,207501,297463,207501,277196,207501,0
22,2,289850,207501,259352,207501,286111,207124,0
22,3,267908,207501,302174,207501,250859,207501,0
23,1,269050,207501,269827,207501,283729,207501,0
23,2,278041,207501,265932,207501,267674,207501,0
23,3,285347,207501,276860,207501,270832,207501,0
24,1,286450,207501,269974,207501,276067,207501,0
24,2,291620,207501,269738,207501,287027,207501,0
24,3,265781,207501,270843,207501,258803,207501,0
25,1,278695,207501,284906,207501,287127,207501,0
25,2,281700,207501,265291,207078,267065,207501,0
25,3,278617,207501,269290,207501,271685,207501,0
26,1,280410,207501,262774,207501,262220,207501,0
26,2,282238,207501,271196,207053,267541,207501,0
26,3,298060,207501,259986,207501,269970,207501,0
27,1,305649,207501,271780,207501,256310,207501,0
27,2,279513,207501,302207,207501,260378,207501,0
27,3,260273,207501,280399,207501,277175,207501,0
28,1,268251,207501,264911,207501,289641,207501,0
28,2,285247,207501,276119,207501,266334,207501,0
28,3,284057,207501,271542,207501,278032,207501,0
29,1,274150,207501,279289,207501,261813,207501,0
29,2,306508,207501,266758,207501,266264,207501,0
29,3,274601,207501,265204,207501,268310,207053,0
30,1,274122,207501,275472,207501,275116,207501,0
30,2,267526,207501,277829,207501,298356,207501,0
30,3,279725,207501,293776,207501,273402,207501,0
31,1,273282,207501,274557,207501,262806,207501,0
31,2,270101,207501,292826,207501,268333,207076,0
31,3,280613,207501,296341,207501,269225,207501,0
32,1,277942,207501,265058,207501,255301,207501,0
32,2,276840,207501,277966,207501,275934,207501,0
32,3,286040,207501,275343,207501,277459,207501,0
