num_threads,trial,time_shared,num_nodes_shared,time_local,num_nodes_local,time_blended,num_nodes_blended,pos_idx
1,1,2.73899e+06,220861,2.7564e+06,220861,2.73256e+06,220861,1
1,2,2.66643e+06,220861,2.66974e+06,220861,2.70687e+06,220861,1
1,3,2.6712e+06,220861,2.67315e+06,220861,2.67111e+06,220861,1
2,1,2.52262e+06,319301,2.70793e+06,331757,2.56027e+06,331757,1
2,2,2.5341e+06,319301,2.60858e+06,331757,2.54027e+06,331757,1
2,3,2.51208e+06,319301,2.67099e+06,331757,2.53999e+06,331757,1
3,1,2.37103e+06,512099,2.58757e+06,534466,2.5276e+06,534466,1
3,2,2.47344e+06,518221,2.5745e+06,534466,2.44099e+06,534466,1
3,3,2.48414e+06,518221,2.61586e+06,534466,2.52871e+06,534466,1
4,1,1.21994e+06,353473,1.18598e+06,353473,1.17557e+06,353473,1
4,2,1.18526e+06,353473,1.2201e+06,353473,1.25153e+06,353473,1
4,3,1.17698e+06,353473,1.19205e+06,353473,1.18588e+06,353473,1
5,1,1.34527e+06,423971,1.17149e+06,432249,1.14338e+06,423971,1
5,2,1.30612e+06,423971,1.21238e+06,423971,1.15749e+06,423097,1
5,3,1.34589e+06,423971,1.19948e+06,432249,1.17612e+06,423097,1
6,1,2.19372e+06,738570,1.84793e+06,738570,1.86835e+06,748938,1
6,2,2.15326e+06,738570,1.80674e+06,738570,1.77145e+06,738570,1
6,3,2.09486e+06,738570,1.80241e+06,738570,1.77965e+06,738570,1
7,1,2.1648e+06,879279,1.80367e+06,879279,1.80365e+06,879279,1
7,2,2.15804e+06,879279,1.78332e+06,876956,1.77944e+06,879279,1
7,3,2.04037e+06,879279,1.7528e+06,879279,1.75867e+06,879279,1
8,1,1.23281e+06,627840,1.20454e+06,627840,1.14527e+06,627840,1
8,2,1.36728e+06,627840,1.15951e+06,627840,1.14634e+06,627840,1
8,3,1.32754e+06,627840,1.17297e+06,627840,1.15883e+06,627840,1
9,1,1.4365e+06,685104,1.16276e+06,685104,1.12493e+06,685104,1
9,2,1.34394e+06,685104,1.15255e+06,685104,1.16511e+06,685104,1
