num_threads,trial,time,num_nodes
1,1,4.44404e+06,616104
1,2,4.37889e+06,616104
1,3,4.39698e+06,616104
2,1,2.38734e+06,626337
2,2,2.36794e+06,626337
2,3,2.41777e+06,626337
3,1,1.86662e+06,648094
3,2,1.82779e+06,648094
3,3,1.8077e+06,648094
4,1,1.41175e+06,648390
4,2,1.59522e+06,648390
4,3,1.42274e+06,648390
5,1,1.50246e+06,678971
5,2,1.34922e+06,678971
5,3,1.5491e+06,678971
6,1,1.39186e+06,681555
6,2,1.57241e+06,681555
6,3,1.40225e+06,681555
7,1,1.33089e+06,687265
7,2,1.1873e+06,687265
7,3,1.14034e+06,687265
8,1,1.22145e+06,724750
8,2,1.18229e+06,724750
8,3,1.22681e+06,724750
9,1,1.17542e+06,734631
9,2,1.25423e+06,734631
9,3,1.16063e+06,734631
10,1,978461,744333
10,2,992956,744333
10,3,985201,744333
11,1,977661,774674
11,2,942549,774674
11,3,952534,774674
12,1,954504,786275
12,2,927914,786275
12,3,973410,786275
13,1,1.02514e+06,797951
13,2,984719,797951
13,3,930382,797951
14,1,993258,808515
14,2,967122,808515
14,3,967065,808515
15,1,979257,820447
15,2,986066,820447
15,3,956162,820447
16,1,1.01109e+06,831121
16,2,1.10576e+06,831121
16,3,1.06112e+06,831121
17,1,1.11404e+06,841373
17,2,1.08486e+06,841373
17,3,1.02616e+06,841373
18,1,984931,851750
18,2,1.07496e+06,851750
18,3,909392,851750
19,1,926904,862119
19,2,983580,862119
19,3,948526,862119
20,1,973459,872959
20,2,1.0683e+06,872959
20,3,1.00849e+06,872959
21,1,908695,872959
21,2,1.0769e+06,872959
21,3,1.02236e+06,872959
22,1,1.05316e+06,872959
22,2,970885,872959
22,3,995203,872959
23,1,1.00613e+06,872959
23,2,977271,872959
23,3,951342,872959
24,1,923510,872959
24,2,961827,872959
24,3,1.0268e+06,872959
25,1,1.01213e+06,872959
25,2,1.01091e+06,872959
25,3,922177,872959
26,1,978098,872959
26,2,906922,872959
26,3,992703,872959
27,1,907642,872959
27,2,963146,872959
27,3,926367,872959
28,1,939486,872959
28,2,956393,872959
28,3,903914,872959
29,1,938409,872959
29,2,915584,872959
29,3,971882,872959
30,1,974060,872959
30,2,973399,872959
30,3,924285,872959
31,1,947456,872959
31,2,922986,872959
31,3,938910,872959
32,1,950352,872959
32,2,946039,872959
32,3,993520,872959
