num_threads,trial,time_shared,num_nodes_shared,time_local,num_nodes_local,time_blended,num_nodes_blended,pos_idx
1,1,507980,97988,507298,97988,507507,97988,1
1,2,507088,97988,507090,97988,505761,97988,1
1,3,507128,97988,509366,97988,506205,97988,1
2,1,483677,167286,466472,167286,481707,167286,1
2,2,471970,167286,493779,167286,495154,167286,1
2,3,483491,167286,468409,167286,462170,167286,1
3,1,500726,237514,501677,237514,571254,258080,1
3,2,461369,237514,444145,237514,466774,237514,1
3,3,468600,237514,563056,258080,457280,230161,1
4,1,144626,71452,143547,71452,144879,71452,1
4,2,147761,71452,141155,71452,133916,71452,1
4,3,141246,71452,151111,71452,144608,71452,1
5,1,208742,129905,199329,125916,205011,129905,1
5,2,204456,125916,192911,129905,194137,125916,1
5,3,225881,125916,197232,125916,187344,129905,1
6,1,307907,236515,298122,218746,291394,223711,1
6,2,342129,223711,300117,208551,299335,223711,1
6,3,309752,218746,297328,222634,303072,251268,1
7,1,327290,254683,286447,254637,300336,270342,1
7,2,297697,254683,300490,254433,282159,259101,1
7,3,324518,236028,289093,264066,280782,240446,1
8,1,154910,136891,163427,136891,166971,136891,1
8,2,179152,136891,149339,136891,161026,136891,1
8,3,165495,136891,155306,136891,171144,136891,1
9,1,164150,144391,154027,144397,164798,144391,1
9,2,194418,144397,174256,144397,160427,144391,1
9,3,161298,144391,159452,144397,176246,144391,1
10,1,150957,137230,150927,137230,156617,137230,1
10,2,159578,137230,163921,137230,161887,137230,1
10,3,158904,137230,161332,137230,141187,137230,1
11,1,182033,157764,159305,157764,170918,157764,1
11,2,222370,157764,178124,157764,178340,157764,1
11,3,180839,157764,184935,157764,180911,157764,1
12,1,189448,163562,171337,163562,167907,163562,1
12,2,204882,163562,176446,163562,168431,163562,1
12,3,178751,163562,160841,163562,160884,163562,1
13,1,198814,178113,174883,178113,176551,178113,1
13,2,183043,178113,189378,178113,178958,178113,1
13,3,202875,178113,182866,178113,175008,178113,1
14,1,195402,191282,190895,205507,182905,195187,1
14,2,205672,209418,184004,191282,181596,209418,1
14,3,179464,191282,182640,191288,181382,191288,1
15,1,219066,209903,187892,209897,185985,209903,1
15,2,185379,209903,187818,209903,190056,213808,1
15,3,210178,209903,194690,209897,188888,209897,1
16,1,197037,217866,197625,217866,195314,217866,1
16,2,201621,217860,198238,217866,178517,217860,1
16,3,201132,217866,195509,217866,189884,221765,1
17,1,221949,240789,200107,236890,191288,240795,1
17,2,215499,236890,211630,236884,201167,236884,1
17,3,224305,240789,196262,236890,213984,240789,1
18,1,216735,257524,213068,257518,209044,257518,1
18,2,231394,257518,211063,257524,211634,261423,1
18,3,222582,261423,217820,257524,209981,266388,1
19,1,236688,261873,239249,264102,207673,264102,1
19,2,238349,269067,212121,264108,236114,269067,1
19,3,220754,264108,214570,264102,222939,261873,1
20,1,299450,282589,227849,284818,239158,284818,1
20,2,237508,284818,227322,284824,224429,282589,1
20,3,259888,284818,226159,282589,239574,284818,1
21,1,236910,285592,222233,285598,215393,285598,1
21,2,265479,285592,225413,285592,221843,285592,1
21,3,243599,285592,213769,285592,213302,285592,1
22,1,257960,296752,234096,301717,246295,301717,1
22,2,255121,296752,220800,296752,233406,296752,1
22,3,258450,296752,218848,296752,231314,296752,1
23,1,279377,309980,223680,309980,265488,316256,1
23,2,321689,309980,267078,309980,247924,309986,1
23,3,257051,309980,262617,321221,228664,321435,1
24,1,287372,316912,243734,323606,242284,316912,1
24,2,286270,316918,246732,316912,234825,321877,1
24,3,259205,316912,239342,316912,236287,316912,1
25,1,378308,328643,240981,329619,249654,329619,1
25,2,279832,324654,239674,324660,249083,324654,1
25,3,266690,324654,245117,329619,231277,324654,1
26,1,264715,324660,264181,324660,257968,324660,1
26,2,300452,324660,237316,324660,245457,324660,1
26,3,269880,324660,249695,324660,125484,154037,1
27,1,261534,331937,171969,188899,237969,331937,1
27,2,187030,217257,253264,331937,235881,331937,1
27,3,298697,331937,247888,312075,238346,331937,1
28,1,292869,344615,261550,344615,127743,153145,1
28,2,337849,344615,144860,167107,255241,344615,1
28,3,295237,344615,245279,344615,268378,344615,1
29,1,219457,256058,240630,275053,158796,168137,1
29,2,291246,350068,276846,350068,288485,350068,1
29,3,348538,350068,199898,182821,267063,350068,1
30,1,221941,279952,279669,354938,137074,143438,1
30,2,239314,273368,195928,172285,223498,302293,1
30,3,298207,354938,173914,179301,257010,354938,1
31,1,280672,308696,214058,242947,167802,189511,1
31,2,196042,219474,259461,340455,166752,177837,1
31,3,331333,354938,134537,162000,264250,354938,1
32,1,286360,354938,246014,338522,265626,354938,1
32,2,333655,325372,272088,354938,268082,354938,1
32,3,286328,354938,121440,143450,203348,268442,1
